BPA ID,Collection Site,Country,State,Sample date,Latitude,Longitude,Elevation,Current Land Use,Ecological Zone,Vegetation Type,Australian Soil Type Classification,FAO Soil Type Classification,Vegatation Total Cover,Dominant Trees,Site Slope,Slope Aspect,Profile Position,Drainage,Environment Event,Fire History,Fire Intensity,Last Change in Land Use,Immediate previous Land Use,Crop Rotation 1,Crop Rotation 2,Crop Rotation 3,Crop Rotation 4,Crop Rotation 5,Agrochemical Additions,Tillage,Site Comments,Horizon,Moisture,Colour,Gravel,Texture,Course Sand,Fine Sand,Sand,Silt,Clay,Ammonium Nitrogen,Nitrate Nitrogen,Phosphoros Colwell,Potassium Colwell,Sulphur,Organic Carbon,Conductivity,CaCl2 pH,H2O pH,DTPA Cu,DTPA Fe,DTPA Mn,DTPA Zn,Exc Al,Exc Ca,Exc Mg,Exc K,Exc Na,Boron Hot CaCl2,Total N,Total C
102.100.100.7044,WestMacdonnell,,,2011-11-01,-23.2524166667,132.640366667,588,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,3.0,72.49,11.77,84.26,2.96,12.78,1.0,2.0,9.0,297.0,2.8,0.52,0.028,6.7,7.6,0.59,12.82,4.84,0.08,0.0001,7.65,2.13,0.75,0.05,0.26,,
102.100.100.7045,Lake Lewis,,,2011-11-01,-22.914,132.6242,560,Grazing native vegetation,Arid,Other,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,6,0.0,1.5,48.78,27.07,75.85,6.05,18.1,0.0001,10.0,3.0,322.0,88.1,0.26,0.346,7.8,8.6,0.28,11.3,3.42,0.11,0.0001,1.19,1.03,0.82,1.48,3.29,,
102.100.100.7046,Lake Lewis,,,2011-11-01,-22.914,132.6242,560,Grazing native vegetation,Arid,Other,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,12,0.0,3.0,36.51,25.3,61.81,33.07,5.12,2.0,6.0,4.0,1690.0,2680.8,0.83,8.304,8.1,8.3,0.38,10.8,2.15,0.1,0.0001,4.53,7.37,2.9,28.85,33.37,,
102.100.100.7047,Tanami,,,2011-11-02,-22.4350333333,132.0354,634,Grazing native vegetation,Arid,Savannah,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,3.0,62.25,20.77,83.02,4.01,12.98,4.0,3.0,9.0,193.0,4.8,0.69,0.021,4.6,5.6,0.68,18.23,8.85,0.39,0.448,1.02,0.34,0.49,0.04,0.51,,
102.100.100.7048,Tanami,,,2011-11-02,-22.4350333333,132.0354,634,Grazing native vegetation,Arid,Savannah,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,12,0.0,2.5,61.43,20.55,81.98,3.01,15.01,2.0,1.0,2.0,160.0,4.6,0.26,0.016,4.5,5.5,0.67,17.88,3.52,0.1,0.66,0.71,0.23,0.41,0.03,0.37,,
102.100.100.7049,Tanami,,,2011-11-02,-21.7075833333,131.104133333,514,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,7,0.0,2.0,62.6,20.76,83.36,1.96,14.67,2.0,1.0,5.0,138.0,2.6,0.63,0.014,5.0,6.0,0.48,10.87,10.84,0.12,0.249,1.43,0.77,0.32,0.08,0.26,,
102.100.100.7050,Tanami,,,2011-11-02,-21.7075833333,131.104133333,514,Residual native cover,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,2.0,57.55,24.81,82.36,0.98,16.65,0.0001,1.0,0.0001,139.0,3.2,0.66,0.014,5.0,5.9,0.46,15.79,7.15,0.03,0.176,1.21,0.86,0.36,0.03,0.23,,
102.100.100.7051,Oberon Lake,,,2011-11-04,-20.2924,130.035766667,333,Grazing native vegetation,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,2,0.0,3.0,47.69,24.64,72.33,3.08,24.59,4.0,3.0,12.0,493.0,1783.4,0.74,6.1,7.4,7.7,1.07,30.97,5.41,0.23,0.0001,3.46,5.01,1.26,20.73,1.68,,
102.100.100.7052,Oberon Lake,,,2011-11-04,-20.2924,130.035766667,333,Grazing native vegetation,Arid,Grassland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,15,0.0,3.5,19.48,20.17,39.65,8.19,52.16,2.0,5.0,16.0,1504.0,2463.5,0.37,12.96,7.8,8.0,2.07,25.39,5.66,2.1,0.0001,1.08,16.13,3.01,53.32,2.49,,
102.100.100.7053,Oberon,,,2011-11-04,-20.2715166667,129.969116667,347,Residual native cover,Arid,Shrubland,Hydrosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,2.0,58.66,26.22,84.88,4.05,11.07,1.0,4.0,2.0,99.0,3.4,0.52,0.019,5.0,5.9,0.49,17.77,12.25,0.04,0.231,1.4,0.58,0.25,0.04,0.33,,
102.100.100.7054,Oberon,,,2011-11-04,-20.2715166667,129.969116667,347,Residual native cover,Arid,Shrubland,Hydrosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,1.5,68.15,25.88,94.03,1.0,5.97,0.0001,2.0,0.0001,57.0,1.7,0.28,0.015,5.4,6.1,0.44,15.92,5.32,0.09,0.316,0.93,0.3,0.15,0.02,0.14,,
102.100.100.7055,Rabbit Flats,,,2011-11-04,-20.28805,129.987316667,337,Residual native cover,Arid,Shrubland,Tenosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,1.5,70.43,25.07,95.5,1.14,3.36,1.0,3.0,2.0,77.0,2.5,0.23,0.117,5.4,6.0,0.42,17.38,9.42,0.18,0.117,0.98,0.37,0.18,0.4,0.14,,
102.100.100.7056,Rabbit Flats,,,2011-11-04,-20.28805,129.987316667,337,Residual native cover,Arid,Shrubland,Tenosols,,,,,,,,,,,,,,,,,,,,,20.0,,11,0.0,1.5,68.23,24.0,92.23,1.0,7.77,2.0,1.0,0.0001,71.0,2.1,0.13,0.097,5.3,6.0,0.4,17.86,4.66,0.03,0.129,1.0,0.41,0.18,0.31,0.17,,
102.100.100.7057,Wilson Camp,,,,-20.1876833333,129.159233333,451,Grazing native vegetation,Arid,Dune,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,1,0.0,1.5,25.66,28.16,53.81,43.75,2.44,1.0,6.0,0.0001,125.0,1.8,0.32,0.024,5.0,5.9,0.51,17.83,9.2,0.2,0.125,1.44,0.42,0.32,0.02,0.3,,
102.100.100.7058,Wilson Camp,,,,-20.1876833333,129.159233333,451,Grazing native vegetation,Arid,Dune,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,12,0.0,2.0,60.59,24.33,84.91,5.05,10.04,2.0,2.0,0.0001,95.0,2.7,0.65,0.017,4.8,5.8,0.48,19.9,5.9,0.01,0.113,0.98,0.4,0.24,0.02,0.26,,
102.100.100.7059,Panton,,,2011-11-07,-17.8735666667,127.873016667,347,Grazing native vegetation,Tropical (dry),Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,6,0.0,3.0,40.45,28.02,68.47,18.75,12.78,0.0001,1.0,13.0,264.0,2.5,0.94,0.029,6.3,7.0,0.78,20.97,13.1,0.89,0.0001,6.42,2.23,0.42,0.02,0.25,,
102.100.100.7060,Panton,,,2011-11-07,-17.8735666667,127.873016667,347,Grazing native vegetation,Tropical (dry),Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,3.0,41.05,20.23,61.28,15.9,22.81,1.0,1.0,3.0,211.0,2.3,0.47,0.041,6.6,7.5,0.86,20.2,9.95,0.49,0.0001,8.67,2.85,0.44,0.06,0.29,,
102.100.100.7061,Devonian,,,2011-11-08,-17.6741333333,125.2178,200,Grazing native vegetation,Tropical (dry),Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,9,0.0,3.0,25.09,42.39,67.48,16.29,16.23,1.0,5.0,10.0,203.0,4.8,1.71,0.138,7.8,8.7,1.12,27.49,8.03,0.19,0.0001,20.91,2.41,0.52,0.12,0.42,,
102.100.100.7062,Devonian,,,2011-11-08,-17.6741333333,125.2178,200,Grazing native vegetation,Tropical (dry),Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,9,0.0,3.0,21.52,45.1,66.62,20.26,13.12,1.0,6.0,5.0,176.0,3.8,1.09,0.112,7.8,8.7,1.28,25.41,4.85,0.14,0.0001,20.82,2.28,0.44,0.04,0.29,,
102.100.100.7063,Derby,,,2011-11-09,-17.5070166667,123.7349,26,Residual native cover,Tropical (dry),Woodland,Dermosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,1.5,65.82,27.28,93.1,0.99,5.91,3.0,3.0,0.0001,45.0,1.9,1.06,0.016,5.4,6.3,0.34,17.23,8.35,0.04,0.19,1.35,0.22,0.12,0.01,0.0001,,
102.100.100.7064,Derby,,,2011-11-09,-17.5070166667,123.7349,26,Residual native cover,Tropical (dry),Woodland,Dermosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,3.0,61.42,31.67,93.09,0.99,5.92,0.0001,2.0,0.0001,32.0,1.6,0.4,0.01,5.4,6.2,0.39,17.63,3.85,0.09,0.099,0.96,0.19,0.08,0.01,0.17,,
102.100.100.7065,Wallah Downs,,,2011-11-10,-19.76865,120.68075,7,Grazing native vegetation,Tropical (dry),Shrubland,Dermosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,1.5,83.3,11.75,95.05,1.0,3.95,0.0001,7.0,4.0,29.0,3.6,0.6,0.042,6.9,7.3,0.28,14.58,2.25,0.05,0.0001,2.31,0.58,0.08,0.08,0.18,,
102.100.100.7066,Wallah Downs,,,2011-11-10,-19.76865,120.68075,7,Grazing native vegetation,Tropical (dry),Shrubland,Dermosols,,,,,,,,,,,,,,,,,,,,,20.0,,7,0.0,1.5,86.37,9.7,96.08,1.0,3.92,0.0001,2.0,4.0,31.0,5.0,0.38,0.052,7.6,8.4,0.32,15.85,2.21,0.01,0.0001,2.09,0.44,0.08,0.02,0.0001,,
102.100.100.7067,Munni Munni,,,2011-11-11,-21.1165166667,116.828566667,93,Grazing native vegetation,Arid,Grassland,Dermosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,3.0,50.7,21.51,72.2,12.93,14.87,0.0001,2.0,6.0,248.0,2.4,0.66,0.118,7.8,8.4,4.42,22.75,8.74,0.18,0.0001,17.77,2.85,0.59,0.04,0.35,,
102.100.100.7068,Munni Munni,,,2011-11-11,-21.1165166667,116.828566667,93,Grazing native vegetation,Arid,Grassland,Dermosols,,,,,,,,,,,,,,,,,,,,,20.0,,7,0.0,3.0,40.11,25.57,65.68,16.17,18.15,3.0,3.0,3.0,230.0,2.9,0.61,0.128,7.7,8.3,7.2,3.05,8.53,0.09,0.0001,20.33,3.68,0.59,0.06,0.45,,
102.100.100.7069,Hamersley,,,2011-11-21,-22.57065,118.08065,736,Residual native cover,Arid,Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,3.0,32.86,30.91,63.77,9.33,26.9,8.0,2.0,3.0,196.0,9.3,0.49,0.093,5.1,5.8,1.46,24.56,13.37,0.18,0.069,3.12,1.12,0.5,0.19,0.43,,
102.100.100.7070,Hamersley,,,2011-11-21,-22.57065,118.08065,736,Residual native cover,Arid,Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,12,0.0,3.0,33.65,34.22,67.88,12.45,19.67,9.0,31.0,6.0,215.0,7.4,0.66,0.143,5.6,6.3,1.19,26.95,21.51,0.48,0.0001,3.66,1.25,0.55,0.27,0.36,,
102.100.100.7071,Mibbeyean Creek,,,2011-11-16,-25.8023833333,120.006316667,566,Residual native cover,Arid,Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,22,0.0,2.5,47.65,34.07,81.72,6.75,11.53,1.0,1.0,4.0,92.0,9.5,0.62,0.03,4.4,5.1,1.0,24.92,4.15,0.15,0.442,0.43,0.14,0.22,0.02,0.24,,
102.100.100.7072,Mibbeyean Creek,,,2011-11-16,-25.8023833333,120.006316667,566,Residual native cover,Arid,Grassland,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,2.5,46.25,31.73,77.98,7.02,15.0,1.0,2.0,2.0,85.0,36.3,0.29,0.065,4.1,4.5,0.98,29.19,2.55,0.08,0.709,0.27,0.11,0.21,0.05,0.51,,
102.100.100.7073,Lake Way,,,2011-11-16,-26.7605,120.284083333,491,Residual native cover,Arid,Other,Calcarosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,3.0,16.25,56.77,73.03,11.06,15.91,2.0,1.0,17.0,3820.0,6290.9,0.55,28.42,7.8,7.9,1.61,41.91,9.66,0.72,0.0001,87.36,25.75,4.95,96.83,7.17,,
102.100.100.7074,Lake Way,,,2011-11-16,-26.7605,120.284083333,491,Residual native cover,Arid,Other,Calcarosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,3.0,13.94,43.66,57.61,16.51,25.88,0.0001,2.0,25.0,4169.0,4823.1,0.47,26.84,7.6,7.7,2.75,44.46,6.6,0.89,0.0001,13.24,28.39,6.93,99.45,6.5,,
102.100.100.7075,Wild Cat,,,2011-11-17,-28.0505166667,120.546166667,523,Residual native cover,Arid,Shrubland,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,12,0.0,3.0,43.57,36.26,79.83,8.09,12.08,0.0001,3.0,4.0,159.0,10.6,0.71,0.148,7.7,8.3,1.59,26.31,6.09,0.2,0.0001,11.0,2.9,0.36,0.12,0.34,,
102.100.100.7076,Wild Cat,,,2011-11-17,-28.0505166667,120.546166667,523,Residual native cover,Arid,Shrubland,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,12,0.0,3.0,38.09,34.82,72.91,9.05,18.04,0.0001,6.0,2.0,71.0,5.3,0.4,0.088,7.9,8.5,1.6,23.42,3.75,0.1,0.0001,14.5,4.61,0.18,0.25,0.35,,
102.100.100.7077,Humpback,,,2011-11-17,-28.05314507,120.5453166,529,Residual native cover,Arid,Shrubland,Rudosols,,,,,,,,,,,,,,,,,,,,,0.0,,22,0.0,2.5,60.69,28.31,89.0,3.01,7.99,5.0,2.0,3.0,116.0,5.7,0.86,0.02,4.7,5.5,0.86,28.51,7.79,0.19,0.21,1.19,0.39,0.29,0.06,0.3,,
102.100.100.7078,Humpback,,,2011-11-17,-28.05314507,120.5453166,529,Residual native cover,Arid,Shrubland,Rudosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,2.5,59.26,26.85,86.11,3.98,9.91,2.0,2.0,3.0,100.0,6.3,0.45,0.019,4.6,5.4,1.15,36.41,12.85,0.08,0.202,1.07,0.41,0.24,0.07,0.32,,
102.100.100.7079,Weebo,,,2011-11-22,-28.1722166667,121.234283333,512,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,11,0.0,2.0,70.15,22.06,92.21,0.98,6.81,8.0,22.0,4.0,123.0,16.0,0.47,0.123,5.2,5.7,0.59,25.33,14.75,0.4,0.167,1.46,0.56,0.3,0.06,0.59,,
102.100.100.7080,Weebo,,,2011-11-22,-28.1722166667,121.234283333,512,Grazing native vegetation,Arid,Shrubland,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,22,0.0,2.0,69.16,21.94,91.1,0.99,7.9,0.0001,3.0,0.0001,123.0,8.5,0.32,0.034,5.3,6.1,0.64,20.88,3.88,0.0001,0.126,0.95,0.4,0.31,0.03,0.58,,
102.100.100.7081,OraBanda,,,2011-11-24,-30.4051,121.062283333,449,Residual native cover,Arid,Savannah,Kandosols,,,,,,,,,,,,,,,,,,,,,0.0,,7,0.0,3.0,35.82,31.71,67.53,13.21,19.26,2.0,8.0,5.0,435.0,13.3,1.37,0.432,7.8,8.6,6.57,30.28,25.46,0.52,0.0001,14.06,8.46,1.1,2.11,3.11,,
102.100.100.7082,OraBanda,,,2011-11-24,-30.4051,121.062283333,449,Residual native cover,Arid,Savannah,Kandosols,,,,,,,,,,,,,,,,,,,,,20.0,,7,0.0,3.0,25.06,27.3,52.36,19.28,28.36,2.0,33.0,3.0,321.0,312.9,0.77,1.254,8.2,8.8,8.0,27.27,9.89,0.25,0.0001,15.12,14.15,0.82,7.4,23.47,,
